Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_014649715.1	ASM1464971v1	Streptomyces lateritius		JCM 4389					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMTO01	54
GCA_001484625.1	ASM148462v1	Streptomyces kanasensis		ZX01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-01-04	LNSV01	
GCF_001484625.1	ASM148462v1	Streptomyces kanasensis		ZX01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-01-04	LNSV01	
GCA_014649415.1	ASM1464941v1	Streptomyces badius		JCM 4350					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMSZ01	74
GCF_014649415.1	ASM1464941v1	Streptomyces badius		JCM 4350					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMSZ01	74
GCA_018927715.1	ASM1892771v1	Streptomyces brasiliscabiei		IBSBF 2867						Scaffold	2021-06-17	JABRXD01	898
GCF_018927715.1	ASM1892771v1	Streptomyces brasiliscabiei		IBSBF2867					GCF_018927715.1-RS_2024_08_02	Scaffold	2021-06-17	JABRXD01	898
GCA_000381025.1	ASM38102v1	Streptomyces sulphureus DSM 40104		DSM 40104						Scaffold	2013-04-24	ARLC01	26
GCF_000381025.1	ASM38102v1	Streptomyces sulphureus DSM 40104		DSM 40104					GCF_000381025.1-RS_2024_05_02	Scaffold	2013-04-24	ARLC01	26
GCA_000429085.1	ASM42908v1	Streptomyces flavidovirens DSM 40150		DSM 40150						Scaffold	2013-07-15	AUBE01	49
GCF_000429085.1	ASM42908v1	Streptomyces flavidovirens DSM 40150		DSM 40150					GCF_000429085.1-RS_2024_04_22	Scaffold	2013-07-15	AUBE01	49
GCA_000225525.2	ASM22552v1	Streptomyces zinciresistens K42		K42					Annotation submitted by  College of Life Sciences, Northwest A & F University; Soil, Water and Environmental Science, University of Arizona	Contig	2011-09-07	AGBF01	
GCF_000225525.1	ASM22552v1	Streptomyces zinciresistens K42		K42					GCF_000225525.1-RS_2024_04_22	Contig	2011-09-07	AGBF01	
GCA_024349285.1	ASM2434928v1	Streptomyces somaliensis DSM 40738		DSM 40738					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-07-20	JAMCDO01	2
GCF_024349285.1	ASM2434928v1	Streptomyces somaliensis DSM 40738		DSM 40738					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-07-20	JAMCDO01	2
GCA_000158915.1	ASM15891v1	Streptomyces himastatinicus ATCC 53653		ATCC 53653					Annotation submitted by Broad Institute	Scaffold	2009-03-02	ACEX01	2
GCF_000158915.1	ASM15891v1	Streptomyces himastatinicus ATCC 53653		ATCC 53653					GCF_000158915.1-RS_2024_05_01	Scaffold	2009-03-02	ACEX01	2
GCA_018138705.1	ASM1813870v1	Streptomyces indonesiensis		DSM 41759						Contig	2021-04-24	JAGSHY01	
GCF_018138705.1	ASM1813870v1	Streptomyces indonesiensis		DSM 41759					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-04-24	JAGSHY01	
GCA_900105695.1	IMG-taxon 2634166371 annotated assembly	Streptomyces melanosporofaciens		DSM 40318					Annotation submitted by DOE - JOINT GENOME INSTITUTE	Contig	2016-10-22	FNST01	
GCF_900105695.1	IMG-taxon 2634166371 annotated assembly	Streptomyces melanosporofaciens		DSM 40318					GCF_900105695.1-RS_2024_04_24	Contig	2016-10-22	FNST01	
GCA_018138715.1	ASM1813871v1	Streptomyces asiaticus		DSM 41761						Contig	2021-04-24	JAGSHX01	
GCF_018138715.1	ASM1813871v1	Streptomyces asiaticus		DSM 41761					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-04-24	JAGSHX01	
GCA_003865155.1	ASM386515v1	Streptomyces paromomycinus		NBRC 15454					Annotation submitted by Biological Resource Center	Contig	2018-11-28	BHZD01	
GCF_003865155.1	ASM386515v1	Streptomyces paromomycinus		NBRC 15454					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-11-28	BHZD01	
GCA_019059395.1	ASM1905939v1	Streptomyces cangkringensis		DSM 41769						Contig	2021-06-29	JAGMTV01	
GCF_019059395.1	ASM1905939v1	Streptomyces cangkringensis		DSM 41769					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-06-29	JAGMTV01	
GCA_014205255.1	ASM1420525v1	Streptomyces caelestis		DSM 40084					Annotation submitted by DOE Joint Genome Institute	Contig	2020-08-14	JACHNE01	
GCF_014205255.1	ASM1420525v1	Streptomyces caelestis		DSM 40084					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-08-14	JACHNE01	
GCA_009811575.1	ASM981157v1	Streptomyces glebosus		NBRC 13786					Annotation submitted by Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	Contig	2019-12-10	BLIO01	
GCF_009811575.1	ASM981157v1	Streptomyces glebosus		NBRC 13786					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-12-10	BLIO01	
GCA_018070025.1	ASM1807002v1	Streptomyces liliiviolaceus		BH-SS-21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-04-18	JAGPYQ01	4
GCF_018070025.1	ASM1807002v1	Streptomyces liliiviolaceus		BH-SS-21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-04-18	JAGPYQ01	4
GCA_005795905.1	ASM579590v1	Streptomyces marianii		ICN19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-05-23	VAWE01	
GCF_005795905.1	ASM579590v1	Streptomyces marianii		ICN19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-05-23	VAWE01	
GCA_007829875.1	ASM782987v1	Streptomyces capillispiralis		DSM 41695					Annotation submitted by DOE Joint Genome Institute	Contig	2019-08-02	VIWV01	
GCF_007829875.1	ASM782987v1	Streptomyces capillispiralis		DSM 41695					GCF_007829875.1-RS_2024_04_23	Contig	2019-08-02	VIWV01	
GCA_017876625.1	ASM1787662v1	Streptomyces syringium		DSM 41480					Annotation submitted by DOE Joint Genome Institute	Contig	2021-04-08	JAGIOH01	
GCF_017876625.1	ASM1787662v1	Streptomyces syringium		DSM 41480					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-04-08	JAGIOH01	
GCA_022524345.1	ASM2252434v1	Streptomyces marispadix		M600PL45_2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-03-08	JAKWJU01	
GCF_022524345.1	ASM2252434v1	Streptomyces marispadix		M600PL45_2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-03-08	JAKWJU01	
GCA_017876255.1	ASM1787625v1	Streptomyces clavifer		DSM 40843					Annotation submitted by DOE Joint Genome Institute	Contig	2021-04-08	JAGINS01	
GCF_017876255.1	ASM1787625v1	Streptomyces clavifer		DSM 40843					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-04-08	JAGINS01	
GCA_016919245.1	ASM1691924v1	Streptomyces zhihengii		YIM T102					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-02-23	JAFEJA01	7
GCF_016919245.1	ASM1691924v1	Streptomyces zhihengii		YIM T102					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-02-23	JAFEJA01	7
GCA_007829885.1	ASM782988v1	Streptomyces brevispora		DSM 42059					Annotation submitted by DOE Joint Genome Institute	Contig	2019-08-02	VIWW01	
GCF_007829885.1	ASM782988v1	Streptomyces brevispora		DSM 42059					GCF_007829885.1-RS_2024_04_23	Contig	2019-08-02	VIWW01	
GCA_030803745.1	ASM3080374v1	Streptomyces demainii		DSM 41600					Annotation submitted by DOE Joint Genome Institute	Contig	2023-08-18	JAURUE01	
GCF_030803745.1	ASM3080374v1	Streptomyces demainii		DSM 41600					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-08-18	JAURUE01	
GCA_009709575.1	ASM970957v1	Streptomyces taklimakanensis		TRM43335					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-11-26	WIXO01	
GCF_009709575.1	ASM970957v1	Streptomyces taklimakanensis		TRM43335					GCF_009709575.1-RS_2024_03_27	Contig	2019-11-26	WIXO01	
GCA_016860525.1	ASM1686052v1	Streptomyces rubradiris		NBRC 14000					Annotation submitted by Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	Contig	2021-01-19	BNEA01	
GCF_016860525.1	ASM1686052v1	Streptomyces rubradiris		NBRC 14000					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-01-19	BNEA01	
GCA_026341275.1	ASM2634127v1	Streptomyces ortus		A15ISP2-DRY2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-11-23	JAIFZO01	8
GCF_026341275.1	ASM2634127v1	Streptomyces ortus		A15ISP2-DRY2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-11-23	JAIFZO01	8
GCA_008634025.1	ASM863402v1	Streptomyces albofaciens JCM 4342		ATCC 23873					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-23	PDCM01	
GCF_008634025.1	ASM863402v1	Streptomyces albofaciens JCM 4342		ATCC 23873					GCF_008634025.1-RS_2024_04_23	Contig	2019-09-23	PDCM01	
GCA_020010925.1	ASM2001092v1	Streptomyces griseiscabiei		NRRL B-2795					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-16	JAGJBZ01	
GCF_020010925.1	ASM2001092v1	Streptomyces griseiscabiei		NRRL B-2795					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-16	JAGJBZ01	
GCA_001445655.1	ASM144565v1	Streptomyces roseifaciens		MBT76						Scaffold	2015-11-18	LNBE01	13
GCF_001445655.1	ASM144565v1	Streptomyces roseifaciens		MBT76					GCF_001445655.1-RS_2024_03_28	Scaffold	2015-11-18	LNBE01	13
GCA_020521275.1	ASM2052127v1	Streptomyces daghestanicus		NBRC 12762					Annotation submitted by Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	Contig	2021-09-30	BNDX01	
GCF_020521275.1	ASM2052127v1	Streptomyces daghestanicus		NBRC 12762					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-30	BNDX01	
GCA_020521255.1	ASM2052125v1	Streptomyces hydrogenans		NBRC 13475					Annotation submitted by Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	Contig	2021-09-30	BNDW01	
GCF_020521255.1	ASM2052125v1	Streptomyces hydrogenans		NBRC 13475					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-09-30	BNDW01	
GCA_002891295.1	ASM289129v1	Streptomyces eurocidicus		ATCC 27428					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-01-17	LGUI01	
GCF_002891295.1	ASM289129v1	Streptomyces eurocidicus		ATCC 27428					GCF_002891295.1-RS_2024_04_27	Contig	2018-01-17	LGUI01	
GCA_018069565.1	ASM1806956v1	Streptomyces tagetis		RG38					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-04-17	JAGPNL01	17
GCF_018069565.1	ASM1806956v1	Streptomyces tagetis		RG38					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-04-17	JAGPNL01	17
GCA_024761905.1	ASM2476190v1	Streptomyces ginkgonis		KM-1-2						Contig	2022-08-29	MAUN01	
GCF_024761905.1	ASM2476190v1	Streptomyces ginkgonis		KM-1-2					GCF_024761905.1-RS_2024_08_02	Contig	2022-08-29	MAUN01	
GCA_004784475.1	ASM478447v1	Streptomyces bauhiniae		Bv016					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-04-11	SRRT01	
GCF_004784475.1	ASM478447v1	Streptomyces bauhiniae		Bv016					GCF_004784475.1-RS_2024_04_22	Contig	2019-04-11	SRRT01	
GCA_022698165.1	ASM2269816v1	Streptomyces cylindrosporus		7R015					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-03-26	JALDAY01	
GCF_022698165.1	ASM2269816v1	Streptomyces cylindrosporus		7R015					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-03-26	JALDAY01	
GCA_014656055.1	ASM1465605v1	Streptomyces griseosporeus		JCM 4766					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BNBR01	16
GCF_014656055.1	ASM1465605v1	Streptomyces griseosporeus		JCM 4766					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BNBR01	16
GCA_014203895.1	ASM1420389v1	Streptomyces nymphaeiformis		SFB5A					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-08-14	JACHJY01	32
GCF_014203895.1	ASM1420389v1	Streptomyces nymphaeiformis		SFB5A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-08-14	JACHJY01	32
GCA_003626645.1	ASM362664v1	Streptomyces klenkii		KCTC 29202					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-10-07	RBAM01	
GCF_003626645.1	ASM362664v1	Streptomyces klenkii		KCTC 29202					GCF_003626645.1-RS_2024_04_05	Contig	2018-10-07	RBAM01	
GCA_014649335.1	ASM1464933v1	Streptomyces roseolilacinus		JCM 4335					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMSV01	46
GCF_014649335.1	ASM1464933v1	Streptomyces roseolilacinus		JCM 4335					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMSV01	46
GCA_014650135.1	ASM1465013v1	Streptomyces plicatus		JCM 4504					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMUJ01	241
GCF_014650135.1	ASM1465013v1	Streptomyces plicatus		JCM 4504					GCF_014650135.1-RS_2024_08_02	Scaffold	2020-09-12	BMUJ01	241
GCA_014655295.1	ASM1465529v1	Streptomyces fumanus		JCM 4477					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BNBI01	45
GCF_014655295.1	ASM1465529v1	Streptomyces fumanus		JCM 4477					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BNBI01	45
GCA_014203555.1	ASM1420355v1	Streptomyces olivoverticillatus		CECT 3266					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-08-14	JACHJH01	16
GCF_014203555.1	ASM1420355v1	Streptomyces olivoverticillatus		CECT 3266					GCF_014203555.1-RS_2024_05_05	Scaffold	2020-08-14	JACHJH01	16
GCA_014649515.1	ASM1464951v1	Streptomyces pilosus		JCM 4372					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMTE01	139
GCF_014649515.1	ASM1464951v1	Streptomyces pilosus		JCM 4372					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMTE01	139
GCA_014650395.1	ASM1465039v1	Streptomyces pluricolorescens		JCM 4602					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMUW01	50
GCF_014650395.1	ASM1465039v1	Streptomyces pluricolorescens		JCM 4602					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMUW01	50
GCA_014650155.1	ASM1465015v1	Streptomyces purpurascens		JCM 4509					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMUK01	72
GCF_014650155.1	ASM1465015v1	Streptomyces purpurascens		JCM 4509					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMUK01	72
GCA_030077645.1	ASM3007764v1	Streptomyces pakalii		ENCB-J15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-05-25	JARWAF01	
GCF_030077645.1	ASM3007764v1	Streptomyces pakalii		ENCB-J15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-05-25	JARWAF01	
GCA_014650775.1	ASM1465077v1	Streptomyces cirratus		JCM 4738					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Contig	2020-09-12	BMVP01	
GCF_014650775.1	ASM1465077v1	Streptomyces cirratus		JCM 4738					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-12	BMVP01	
GCA_003121295.1	ASM312129v1	Streptomyces orinoci		NRRL B-3379						Contig	2018-05-11	PHNC01	
GCF_003121295.1	ASM312129v1	Streptomyces orinoci		NRRL B-3379					GCF_003121295.1-RS_2024_04_03	Contig	2018-05-11	PHNC01	
GCA_014202475.1	ASM1420247v1	Streptomyces paradoxus		DSM 43350					Annotation submitted by DOE Joint Genome Institute	Scaffold	2020-08-14	JACHGV01	42
GCF_014202475.1	ASM1420247v1	Streptomyces paradoxus		DSM 43350					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-08-14	JACHGV01	42
GCA_005048155.1	ASM504815v1	Streptomyces piniterrae		jys28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-05-02	SUMB01	
GCF_005048155.1	ASM504815v1	Streptomyces piniterrae		jys28					GCF_005048155.1-RS_2024_05_04	Contig	2019-05-02	SUMB01	
GCA_014650235.1	ASM1465023v1	Streptomyces violaceochromogenes		JCM 4530					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMUO01	23
GCF_014650235.1	ASM1465023v1	Streptomyces violaceochromogenes		JCM 4530					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMUO01	23
GCA_014650815.1	ASM1465081v1	Streptomyces flavofungini		JCM 4753					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMVR01	75
GCF_014650815.1	ASM1465081v1	Streptomyces flavofungini		JCM 4753					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMVR01	75
GCA_014654785.1	ASM1465478v1	Streptomyces mashuensis		JCM 4059					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Contig	2020-09-12	BNBD01	
GCF_014654785.1	ASM1465478v1	Streptomyces mashuensis		JCM 4059					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-12	BNBD01	
GCA_014650035.1	ASM1465003v1	Streptomyces lucensis JCM 4490		JCM 4490					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMUE01	65
GCF_014650035.1	ASM1465003v1	Streptomyces lucensis JCM 4490		JCM 4490					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMUE01	65
GCA_014650355.1	ASM1465035v1	Streptomyces xanthochromogenes		JCM 4594					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMUU01	66
GCF_014650355.1	ASM1465035v1	Streptomyces xanthochromogenes		JCM 4594					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMUU01	66
GCA_016741855.1	ASM1674185v1	Streptomyces musisoli		CH5-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-01-21	JAERRH01	
GCF_016741855.1	ASM1674185v1	Streptomyces musisoli		CH5-8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-01-21	JAERRH01	
GCA_014648815.1	ASM1464881v1	Streptomyces flaveolus		JCM 4032					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Contig	2020-09-12	BMRV01	
GCF_014648815.1	ASM1464881v1	Streptomyces flaveolus		JCM 4032					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-12	BMRV01	
GCA_029223485.1	ASM2922348v1	Streptomyces coacervatus		JCM 17138					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-03-15	JARHTP01	
GCF_029223485.1	ASM2922348v1	Streptomyces coacervatus		JCM 17138					GCF_029223485.1-RS_2024_08_06	Contig	2023-03-15	JARHTP01	
GCA_028401765.1	ASM2840176v1	Streptomyces gilvifuscus		T113					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-02-01	JAQOSK01	
GCF_028401765.1	ASM2840176v1	Streptomyces gilvifuscus		T113					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-02-01	JAQOSK01	
GCA_014649015.1	ASM1464901v1	Streptomyces narbonensis		JCM 4147					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMSF01	221
GCF_014649015.1	ASM1464901v1	Streptomyces narbonensis		JCM 4147					GCF_014649015.1-RS_2024_08_02	Scaffold	2020-09-12	BMSF01	221
GCA_014650175.1	ASM1465017v1	Streptomyces termitum		JCM 4518					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Contig	2020-09-12	BMUL01	
GCF_014650175.1	ASM1465017v1	Streptomyces termitum		JCM 4518					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-12	BMUL01	
GCA_000718305.1	ASM71830v1	Streptomyces niger		NRRL B-3857						Contig	2014-07-02	JOFQ01	
GCF_000718305.1	ASM71830v1	Streptomyces niger		NRRL B-3857					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-07-02	JOFQ01	
GCA_002217755.1	ASM221775v1	Streptomyces hyaluromycini		NBRC 110483						Scaffold	2017-07-01	BCFL01	52
GCF_002217755.1	ASM221775v1	Streptomyces hyaluromycini		NBRC 110483					GCF_002217755.1-RS_2024_07_31	Scaffold	2017-07-01	BCFL01	52
GCA_014650715.1	ASM1465071v1	Streptomyces bluensis		JCM 4729					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Contig	2020-09-12	BMVM01	
GCF_014650715.1	ASM1465071v1	Streptomyces bluensis		JCM 4729					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-12	BMVM01	
GCA_022698145.1	ASM2269814v1	Streptomyces spinosisporus		7R016					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-03-26	JALDAX01	
GCF_022698145.1	ASM2269814v1	Streptomyces spinosisporus		7R016					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-03-26	JALDAX01	
GCA_020819595.1	ASM2081959v1	Streptomyces barringtoniae		JA03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-11-09	JAJHNP01	
GCF_020819595.1	ASM2081959v1	Streptomyces barringtoniae		JA03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-11-09	JAJHNP01	
GCA_014493765.1	ASM1449376v1	Streptomyces polyasparticus		TRM66268-LWL					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-08	JACTVJ01	
GCF_014493765.1	ASM1449376v1	Streptomyces polyasparticus		TRM66268-LWL					GCF_014493765.1-RS_2024_08_02	Contig	2020-09-08	JACTVJ01	
GCA_014203645.1	ASM1420364v1	Streptomyces zagrosensis		CECT 8305					Annotation submitted by DOE Joint Genome Institute	Contig	2020-08-14	JACHJL01	
GCF_014203645.1	ASM1420364v1	Streptomyces zagrosensis		CECT 8305					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-08-14	JACHJL01	
GCA_000717745.1	ASM71774v1	Streptomyces violens		NRRL ISP-5597						Contig	2014-07-02	JOBH01	
GCF_000717745.1	ASM71774v1	Streptomyces violens		NRRL ISP-5597					GCF_000717745.1-RS_2024_05_02	Contig	2014-07-02	JOBH01	
GCA_014649755.1	ASM1464975v1	Streptomyces litmocidini		JCM 4394					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMTQ01	87
GCF_014649755.1	ASM1464975v1	Streptomyces litmocidini		JCM 4394					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMTQ01	87
GCA_014648635.1	ASM1464863v1	Streptomyces cinerochromogenes		JCM 3385					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMRM01	63
GCF_014648635.1	ASM1464863v1	Streptomyces cinerochromogenes		JCM 3385					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMRM01	63
GCA_014649735.1	ASM1464973v1	Streptomyces lavendofoliae		JCM 4391					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMTP01	70
GCF_014649735.1	ASM1464973v1	Streptomyces lavendofoliae		JCM 4391					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMTP01	70
GCA_014779715.1	ASM1477971v1	Streptomyces chumphonensis		KK1-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-28	JACXYU01	
GCF_014779715.1	ASM1477971v1	Streptomyces chumphonensis		KK1-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-28	JACXYU01	
GCA_020400655.1	ASM2040065v1	Streptomyces spinosus		SBTS01						Contig	2021-10-08	JAINRC01	
GCF_020400655.1	ASM2040065v1	Streptomyces spinosus		SBTS01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-10-08	JAINRC01	
GCA_014649595.1	ASM1464959v1	Streptomyces griseomycini		JCM 4382					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Contig	2020-09-12	BMTI01	
GCF_014649595.1	ASM1464959v1	Streptomyces griseomycini		JCM 4382					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-12	BMTI01	
GCA_014649775.1	ASM1464977v1	Streptomyces longisporoflavus		JCM 4396					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Scaffold	2020-09-12	BMTR01	167
GCF_014649775.1	ASM1464977v1	Streptomyces longisporoflavus		JCM 4396					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMTR01	167
GCA_014650575.1	ASM1465057v1	Streptomyces naganishii JCM 4654		JCM 4654					Annotation submitted by WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	Contig	2020-09-14	BMVF01	
GCF_014650575.1	ASM1465057v1	Streptomyces naganishii JCM 4654		JCM 4654					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-14	BMVF01	
GCA_029269835.1	ASM2926983v1	Streptomyces tropicalis		K1PA1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-03-19	JARJBB01	
GCF_029269835.1	ASM2926983v1	Streptomyces tropicalis		K1PA1					GCF_029269835.1-RS_2024_08_03	Contig	2023-03-19	JARJBB01	
GCA_025165795.1	ASM2516579v1	Streptomyces gossypii		N2-109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-09-13	JAJAGO01	49
