Assembly Accession 	Organism Name                                           	Organism Infraspecific Names Strain 	Assembly Stats Total Sequence Length 	Assembly Stats Contig N50 	Assembly Stats Contig L50 	Assembly Stats GC Count 	Assembly Stats GC Percent 	CheckM contamination
GCA_023075905.1    	Ralstonia pseudosolanacearum                            	CIP264_UW503                        	                             5137975 	                    40058 	                       44 	                3450902 	                     67   	                0.29
GCA_023076195.1    	Ralstonia pseudosolanacearum                            	CIP296_UW472                        	                             5501204 	                   143453 	                       15 	                3681788 	                     67   	                0.72
GCA_023076615.1    	Ralstonia pseudosolanacearum                            	O12BS_UW407                         	                             5697540 	                   131763 	                       15 	                3819813 	                     67   	                0.17
GCA_023076705.1    	Ralstonia pseudosolanacearum                            	POPS1_UW379                         	                             5842501 	                    79538 	                       25 	                3908772 	                     67   	                0.17
GCA_023077395.1    	Ralstonia pseudosolanacearum                            	UW198                               	                             5647351 	                    72466 	                       26 	                3783173 	                     67   	                0.17
GCA_023130655.1    	Ralstonia pseudosolanacearum                            	Tb18                                	                             5942602 	                   131590 	                       17 	                3973468 	                     67   	                0.76
GCA_023130685.1    	Ralstonia pseudosolanacearum                            	Pt01                                	                             5621911 	                    93668 	                       19 	                3761670 	                     67   	                0.17
GCA_023130705.1    	Ralstonia pseudosolanacearum                            	Tb04                                	                             5896040 	                   138083 	                       12 	                3943309 	                     67   	                0.17
GCA_023130735.1    	Ralstonia pseudosolanacearum                            	Pp26                                	                             5803733 	                   112122 	                       17 	                3882775 	                     67   	                0.22
GCA_023130755.1    	Ralstonia pseudosolanacearum                            	Pn33                                	                             5725755 	                   100379 	                       18 	                3831517 	                     67   	                0.17
GCA_023130765.1    	Ralstonia pseudosolanacearum                            	Gg01                                	                             5821865 	                    80844 	                       25 	                3890434 	                     67   	                0.17
GCA_023130775.1    	Ralstonia pseudosolanacearum                            	Ec03                                	                             5729451 	                   104997 	                       17 	                3832325 	                     67   	                0.17
GCA_023130815.1    	Ralstonia pseudosolanacearum                            	Ep08                                	                             5569615 	                    62946 	                       25 	                3731394 	                     67   	                0.25
GCA_023130835.1    	Ralstonia pseudosolanacearum                            	Cm01                                	                             5720814 	                   178955 	                       11 	                3833924 	                     67   	                0.77
GCA_023518395.1    	Ralstonia pseudosolanacearum                            	PeaFJ1                              	                             5808912 	                  3800378 	                        1 	                3883137 	                     67   	                0.17
GCA_024460955.1    	Ralstonia pseudosolanacearum                            	GRsMep                              	                             5837336 	                  3716413 	                        1 	                3908205 	                     67   	                0.17
GCA_024925465.1    	Ralstonia pseudosolanacearum                            	LMG 9673                            	                             5690309 	                  3803549 	                        1 	                3790557 	                     66.5 	                0.45
GCA_025859515.1    	Ralstonia pseudosolanacearum                            	Cw717                               	                             5592449 	                  3444930 	                        1 	                3748690 	                     67   	                0.25
GCA_025859615.1    	Ralstonia pseudosolanacearum                            	Gj707                               	                             5932898 	                  3867619 	                        1 	                3965924 	                     67   	                0.17
GCA_025859635.1    	Ralstonia pseudosolanacearum                            	Sw698                               	                             5562184 	                  3450728 	                        1 	                3728406 	                     67   	                0.25
GCA_028464705.1    	Ralstonia pseudosolanacearum                            	UW180                               	                             5560497 	                    63542 	                       28 	                3729788 	                     67   	                0.17
GCA_028464715.1    	Ralstonia pseudosolanacearum                            	UW193                               	                             5759723 	                    82612 	                       20 	                3860323 	                     67   	                0.17
GCA_028728365.1    	Ralstonia pseudosolanacearum                            	UW5                                 	                             5696679 	                    43460 	                       43 	                3818366 	                     67   	                0.46
GCA_029220045.1    	Ralstonia pseudosolanacearum                            	RUN2340                             	                             5761046 	                  3787902 	                        1 	                3835880 	                     66.5 	                0.45
GCA_029220065.1    	Ralstonia pseudosolanacearum                            	PSS4                                	                             5879613 	                  3811655 	                        1 	                3934604 	                     67   	                0.17
GCA_030124305.1    	Ralstonia pseudosolanacearum                            	Cq05                                	                             5672954 	                    99936 	                       18 	                3802395 	                     67   	                0.22
GCA_030406625.1    	Ralstonia pseudosolanacearum                            	RALF-MA                             	                             5864636 	                   136625 	                       14 	                3924425 	                     67   	                0.17
GCA_030518835.1    	Ralstonia pseudosolanacearum                            	SM743_UCD567                        	                             5850078 	                  3776735 	                        1 	                3912127 	                     67   	                0.21
GCA_030518845.1    	Ralstonia pseudosolanacearum                            	SM742_UCD513                        	                             5599011 	                   141897 	                       11 	                3756440 	                     67   	                0.17
GCA_030518855.1    	Ralstonia pseudosolanacearum                            	SM744_UCD522                        	                             5639564 	                    41891 	                       41 	                3778419 	                     67   	                0.38
GCA_030518875.1    	Ralstonia pseudosolanacearum                            	SM741_UCD511                        	                             5727708 	                   113973 	                       16 	                3837618 	                     67   	                0.17
GCA_030518885.1    	Ralstonia pseudosolanacearum                            	SM747_UCD508                        	                             5703275 	                   154272 	                       14 	                3823289 	                     67   	                0.56
GCA_030518935.1    	Ralstonia pseudosolanacearum                            	SM717_UCD507                        	                             5594681 	                   124591 	                       13 	                3753428 	                     67   	                0.56
GCA_030518945.1    	Ralstonia pseudosolanacearum                            	SM732_UCD517                        	                             5535961 	                    58312 	                       29 	                3714124 	                     67   	                0.17
GCA_030518955.1    	Ralstonia pseudosolanacearum                            	SM735_UCD516                        	                             5721234 	                    89262 	                       20 	                3832233 	                     67   	                0.21
GCA_030518985.1    	Ralstonia pseudosolanacearum                            	SM734_UCD498                        	                             5741091 	                    77102 	                       25 	                3842146 	                     67   	                0.08
GCA_030518995.1    	Ralstonia pseudosolanacearum                            	SM718_UCD509                        	                             5568766 	                    80977 	                       23 	                3736060 	                     67   	                0.28
GCA_030519035.1    	Ralstonia pseudosolanacearum                            	SM715_UCD499                        	                             5634403 	                    88919 	                       21 	                3776939 	                     67   	                0.25
GCA_030519055.1    	Ralstonia pseudosolanacearum                            	SM707_UCD512                        	                             5687077 	                    98900 	                       17 	                3813881 	                     67   	                0.17
GCA_030519065.1    	Ralstonia pseudosolanacearum                            	SM709_UCD514                        	                             5656935 	                    86538 	                       22 	                3794496 	                     67   	                0.17
GCA_030519075.1    	Ralstonia pseudosolanacearum                            	SM702_UCD515                        	                             5651047 	                    85281 	                       21 	                3784977 	                     67   	                0.28
GCA_030519085.1    	Ralstonia pseudosolanacearum                            	SM714_UCD497                        	                             5624653 	                    72946 	                       26 	                3770159 	                     67   	                0.25
GCA_030519135.1    	Ralstonia pseudosolanacearum                            	SM696_UCD519                        	                             5637154 	                    58886 	                       29 	                3776119 	                     67   	                0.28
GCA_030519155.1    	Ralstonia pseudosolanacearum                            	SM683_UCD502                        	                             5684998 	                    83856 	                       23 	                3812830 	                     67   	                0.17
GCA_030519165.1    	Ralstonia pseudosolanacearum                            	SM686_UCD506                        	                             5685259 	                    86749 	                       22 	                3813070 	                     67   	                0.17
GCA_030519175.1    	Ralstonia pseudosolanacearum                            	SM684_UCD504                        	                             5638345 	                    74372 	                       26 	                3782559 	                     67   	                0.17
GCA_030519215.1    	Ralstonia pseudosolanacearum                            	SM671_UCD503                        	                             5640720 	                   126496 	                       14 	                3781991 	                     67   	                0.17
GCA_030519225.1    	Ralstonia pseudosolanacearum                            	SM677_UCD518                        	                             5681049 	                    78033 	                       26 	                3810050 	                     67   	                0.17
GCA_030519255.1    	Ralstonia pseudosolanacearum                            	SM1850_UCD520                       	                             5697570 	                    90002 	                       20 	                3819159 	                     67   	                0.84
GCA_030519275.1    	Ralstonia pseudosolanacearum                            	SM1858_UCD505                       	                             5936799 	                   103475 	                       18 	                3966630 	                     67   	                0.22
GCA_030519295.1    	Ralstonia pseudosolanacearum                            	SM666_UCD496                        	                             5616636 	                    52620 	                       35 	                3765099 	                     67   	                0.34
GCA_030519305.1    	Ralstonia pseudosolanacearum                            	SM1851_UCD521                       	                             5781795 	                    79220 	                       23 	                3867312 	                     67   	                0.21
GCA_037101315.1    	Ralstonia pseudosolanacearum                            	MAFF 211519                         	                             5746956 	                  3791125 	                        1 	                3846319 	                     67   	                0.17
GCA_037101325.1    	Ralstonia pseudosolanacearum                            	MAFF 211520                         	                             5953698 	                  3977427 	                        1 	                3977778 	                     67   	                0.17
GCA_037101335.1    	Ralstonia pseudosolanacearum                            	MAFF 211521                         	                             5953694 	                  3977428 	                        1 	                3977774 	                     67   	                0.17
GCA_037101345.1    	Ralstonia pseudosolanacearum                            	MAFF 301524                         	                             5952515 	                  3892407 	                        1 	                3975503 	                     67   	                0.17
GCA_037101355.1    	Ralstonia pseudosolanacearum                            	MAFF 301069                         	                             5746698 	                  3741881 	                        1 	                3847372 	                     67   	                0.17
GCA_037938245.1    	Ralstonia pseudosolanacearum                            	PD 8565                             	                             5576369 	                    85532 	                       20 	                3745110 	                     67   	                0.17
GCA_039623345.1    	Ralstonia pseudosolanacearum                            	RS26                                	                             5701084 	                  3721266 	                        1 	                3817318 	                     67   	                0.17
GCA_039822305.1    	Ralstonia pseudosolanacearum                            	D-P-S01                             	                             5318256 	                     7433 	                      200 	                3513347 	                     66   	                1.39
GCA_039822325.1    	Ralstonia pseudosolanacearum                            	D-P-S02                             	                             5266565 	                     7558 	                      197 	                3479121 	                     66   	                0.68
GCA_039822345.1    	Ralstonia pseudosolanacearum                            	D-P-A02                             	                             5818768 	                    26773 	                       68 	                3881377 	                     66.5 	                0.29
GCA_039822365.1    	Ralstonia pseudosolanacearum                            	D-P-S03                             	                             4861639 	                     5139 	                      249 	                3187649 	                     65.5 	                1.13
GCA_039822385.1    	Ralstonia pseudosolanacearum                            	D-N-S04                             	                             5501498 	                     7552 	                      205 	                3646125 	                     66.5 	                1.23
GCA_039822405.1    	Ralstonia pseudosolanacearum                            	B-N-S04                             	                             5681497 	                    11556 	                      135 	                3776961 	                     66.5 	                1.62
GCA_039822425.1    	Ralstonia pseudosolanacearum                            	D-N-A04                             	                             5114021 	                     6100 	                      222 	                3379315 	                     66   	                1.23
GCA_039822445.1    	Ralstonia pseudosolanacearum                            	D-N-A03                             	                             4722178 	                     4369 	                      297 	                3090623 	                     65.5 	                 
GCA_039822465.1    	Ralstonia pseudosolanacearum                            	D-N-A01                             	                             4759705 	                     4556 	                      275 	                3114769 	                     65.5 	                 
GCA_039822485.1    	Ralstonia pseudosolanacearum                            	B-N-S03                             	                             4960154 	                     6026 	                      222 	                3258314 	                     65.5 	                1.6
GCA_039822505.1    	Ralstonia pseudosolanacearum                            	B-N-S02                             	                             4871981 	                     5480 	                      239 	                3192384 	                     65.5 	                1.05
GCA_039822545.1    	Ralstonia pseudosolanacearum                            	B-N-A01                             	                             5328779 	                     6653 	                      222 	                3522650 	                     66   	                1.21
GCA_039822585.1    	Ralstonia pseudosolanacearum                            	B-N-S01                             	                             4868540 	                     4716 	                      270 	                3192483 	                     65.5 	                 
GCA_040183095.1    	Ralstonia pseudosolanacearum                            	GBBC3080                            	                             5695467 	                    89343 	                       20 	                3813470 	                     67   	                 
GCA_040429625.1    	Ralstonia pseudosolanacearum                            	EN1                                 	                             5970007 	                  3982148 	                        1 	                3987674 	                     67   	                0.34
GCA_040537435.1    	Ralstonia pseudosolanacearum                            	TZ27                                	                             5658309 	                    83309 	                       23 	                3794684 	                     67   	                0.34
GCA_040537455.1    	Ralstonia pseudosolanacearum                            	TZ15                                	                             5659673 	                    76216 	                       28 	                3795538 	                     67   	                0.34
GCA_040537475.1    	Ralstonia pseudosolanacearum                            	TZ26                                	                             5671090 	                   167485 	                       12 	                3802357 	                     67   	                0.39
GCA_040537485.1    	Ralstonia pseudosolanacearum                            	TZ22                                	                             5731752 	                    83309 	                       23 	                3842697 	                     67   	                0.51
GCA_040537495.1    	Ralstonia pseudosolanacearum                            	TZ21                                	                             5349426 	                    83177 	                       21 	                3585547 	                     67   	                0.34
GCA_040537535.1    	Ralstonia pseudosolanacearum                            	TZ35                                	                             5626747 	                    98188 	                       20 	                3769179 	                     67   	                0.17
GCA_040537555.1    	Ralstonia pseudosolanacearum                            	TZ10                                	                             5621656 	                    76889 	                       25 	                3769923 	                     67   	                0.51
GCA_040537575.1    	Ralstonia pseudosolanacearum                            	TZ20                                	                             5445691 	                    82892 	                       22 	                3651014 	                     67   	                0.34
GCA_040537585.1    	Ralstonia pseudosolanacearum                            	TZ33                                	                             5626895 	                   106140 	                       18 	                3769163 	                     67   	                0.17
GCA_040537595.1    	Ralstonia pseudosolanacearum                            	TZ34                                	                             5620109 	                    78557 	                       24 	                3768929 	                     67   	                0.34
GCA_040537635.1    	Ralstonia pseudosolanacearum                            	TZ17                                	                             5659145 	                    81613 	                       22 	                3795331 	                     67   	                0.34
GCA_040537645.1    	Ralstonia pseudosolanacearum                            	TZ19                                	                             5660273 	                    83177 	                       21 	                3796049 	                     67   	                0.34
GCA_040537655.1    	Ralstonia pseudosolanacearum                            	TZ11                                	                             5656894 	                    83177 	                       22 	                3793829 	                     67   	                0.34
GCA_040537695.1    	Ralstonia pseudosolanacearum                            	TZ8                                 	                             5657720 	                    83154 	                       22 	                3794333 	                     67   	                0.34
GCA_040537705.1    	Ralstonia pseudosolanacearum                            	TZ9                                 	                             5655785 	                    83177 	                       23 	                3792708 	                     67   	                0.34
GCA_040537735.1    	Ralstonia pseudosolanacearum                            	TZ5                                 	                             5661613 	                    78557 	                       24 	                3797042 	                     67   	                0.34
GCA_040537745.1    	Ralstonia pseudosolanacearum                            	TZ4                                 	                             5657389 	                    83868 	                       23 	                3793876 	                     67   	                0.34
GCA_040537775.1    	Ralstonia pseudosolanacearum                            	TZ6                                 	                             5659235 	                    78557 	                       26 	                3795256 	                     67   	                0.34
GCA_040537795.1    	Ralstonia pseudosolanacearum                            	TZ3                                 	                             5658007 	                    82153 	                       24 	                3794497 	                     67   	                0.51
GCA_041363935.1    	Ralstonia pseudosolanacearum                            	RsTY2                               	                             5488257 	                   102700 	                       19 	                3681146 	                     67   	                0.17
GCA_041363985.1    	Ralstonia pseudosolanacearum                            	RsTP2                               	                             5694017 	                   105060 	                       17 	                3812833 	                     67   	                0.17
GCA_919586305.1    	Ralstonia pseudosolanacearum                            	LMG 9673                            	                             5437956 	                    69480 	                       26 	                3630566 	                     67   	                0.45
GCA_001855495.2    	Ralstonia pseudosolanacearum CaRs-Mep                   	CaRs-Mep                            	                             5606203 	                   109493 	                       16 	                3756169 	                     67   	                0.17
GCA_000348545.1    	Ralstonia pseudosolanacearum FQY_4                      	FQY_4                               	                             5805250 	                  3715422 	                        1 	                3878561 	                     67   	                0.17
GCA_000009125.1    	Ralstonia pseudosolanacearum GMI1000                    	GMI1000                             	                             5810922 	                  3716413 	                        1 	                3891890 	                     67   	                0.17
GCA_000710135.3    	Ralstonia solanacearum                                  	CFIA906                             	                             5240947 	                    58390 	                       24 	                3499116 	                     67   	                1.78
GCA_000710695.1    	Ralstonia solanacearum                                  	NCPPB 909                           	                             5251879 	                    51262 	                       32 	                3504672 	                     67   	                2.25
GCA_000749995.1    	Ralstonia solanacearum                                  	23-10BR                             	                             5629362 	                   136379 	                       14 	                3752468 	                     66.5 	                2.67
GCA_000750575.1    	Ralstonia solanacearum                                  	NCPPB 282                           	                             5254570 	                    69431 	                       23 	                3505775 	                     66.5 	                1.09
GCA_000750585.1    	Ralstonia solanacearum                                  	POPS2                               	                             5580787 	                    30760 	                       56 	                3704782 	                     66.5 	                1.91
GCA_000825785.2    	Ralstonia solanacearum                                  	B50                                 	                             5596066 	                    15512 	                      108 	                3646016 	                     66.5 	                3.93
GCA_000825805.2    	Ralstonia solanacearum                                  	UW179                               	                             5426414 	                    27629 	                       61 	                3581114 	                     66.5 	                1.94
GCA_000825825.2    	Ralstonia solanacearum                                  	CIP417                              	                             5523709 	                    23932 	                       71 	                3646681 	                     67   	                2.33
GCA_000825845.2    	Ralstonia solanacearum                                  	Grenada 9-1                         	                             5479463 	                    21465 	                       77 	                3606145 	                     66.5 	                3.4
GCA_000825865.2    	Ralstonia solanacearum                                  	UW163                               	                             5532370 	                    22639 	                       74 	                3646620 	                     66.5 	                2.47
GCA_000825885.2    	Ralstonia solanacearum                                  	CFBP6783                            	                             5602018 	                    24821 	                       70 	                3690858 	                     66.5 	                3.18
GCA_000825905.2    	Ralstonia solanacearum                                  	IBSBF1503                           	                             5514504 	                    24468 	                       65 	                3636309 	                     66.5 	                2.99
GCA_000825925.2    	Ralstonia solanacearum                                  	CFBP1416                            	                             5744274 	                    20097 	                       83 	                3783468 	                     66.5 	                2.67
GCA_001299555.1    	Ralstonia solanacearum                                  	UY031                               	                             5411683 	                  3412138 	                        1 	                3604487 	                     66.5 	                1.93
GCA_001373255.1    	Ralstonia solanacearum                                  	CFBP7014                            	                             5621065 	                    24846 	                       70 	                3697548 	                     66.5 	                2.33
GCA_001373275.1    	Ralstonia solanacearum                                  	IBSBF1900                           	                             5812604 	                    15549 	                      107 	                3787988 	                     66.5 	                3.44
GCA_001373295.1    	Ralstonia solanacearum                                  	RS2                                 	                             4788265 	                   101387 	                       15 	                3195002 	                     67   	                1.1
GCA_001373315.1    	Ralstonia solanacearum                                  	UW181                               	                             5436691 	                    23007 	                       71 	                3575093 	                     66.5 	                4
GCA_001373335.1    	Ralstonia solanacearum                                  	CFBP3858                            	                             5835995 	                    25761 	                       67 	                3833813 	                     66.5 	                3.86
GCA_001586135.1    	Ralstonia solanacearum                                  	KACC 10722                          	                             5463256 	                  3579824 	                        1 	                3628996 	                     66.5 	                3.65
GCA_001587135.1    	Ralstonia solanacearum                                  	UW163                               	                             5596238 	                  3509932 	                        1 	                3723355 	                     66.5 	                1.85
GCA_001587155.1    	Ralstonia solanacearum                                  	IBSBF1503                           	                             5530249 	                  3460461 	                        1 	                3685245 	                     66.5 	                1.54
GCA_001644795.1    	Ralstonia solanacearum                                  	CIP120                              	                             5671540 	                    82414 	                       23 	                3774996 	                     66.5 	                3.23
GCA_001644805.1    	Ralstonia solanacearum                                  	P597                                	                             5648018 	                    20051 	                       84 	                3752947 	                     66.5 	                5.14
GCA_001644815.1    	Ralstonia solanacearum                                  	CFBP6783                            	                             5557185 	                    59814 	                       27 	                3703304 	                     66.5 	                2.01
GCA_001696845.1    	Ralstonia solanacearum                                  	UW491                               	                             5242931 	                   136661 	                       12 	                3495023 	                     66.5 	                1.09
GCA_001696855.1    	Ralstonia solanacearum                                  	UW24                                	                             5183779 	                   120384 	                       14 	                3459090 	                     66.5 	                1.78
GCA_001696865.1    	Ralstonia solanacearum                                  	UW365                               	                             5264519 	                   101497 	                       15 	                3512501 	                     66.5 	                1.78
GCA_001696875.1    	Ralstonia solanacearum                                  	UW551                               	                             5261735 	                   110639 	                       15 	                3511008 	                     66.5 	                1.78
GCA_001901665.1    	Ralstonia solanacearum                                  	BBAC-C1                             	                             5611044 	                    15243 	                       91 	                3089110 	                     67   	                2.97
GCA_002029865.1    	Ralstonia solanacearum                                  	GEO_99                              	                             5214846 	                    83870 	                       21 	                3483639 	                     67   	                1.93
GCA_002029885.1    	Ralstonia solanacearum                                  	GEO_57                              	                             5189849 	                   101336 	                       17 	                3466920 	                     67   	                1.78
GCA_002029895.1    	Ralstonia solanacearum                                  	GEO_96                              	                             5192440 	                   101078 	                       17 	                3469268 	                     67   	                1.78
GCA_002251605.3    	Ralstonia solanacearum                                  	UW700                               	                             5487557 	                  1697113 	                        2 	                3649124 	                     66.5 	                6.3
GCA_002251655.1    	Ralstonia solanacearum                                  	UW551                               	                             5478976 	                  3471163 	                        1 	                3646402 	                     66.5 	                2.56
GCA_002501565.1    	Ralstonia solanacearum                                  	RS 488                              	                             5411685 	                  3412138 	                        1 	                3601397 	                     66.5 	                1.93
GCA_002549815.1    	Ralstonia solanacearum                                  	RS 489                              	                             5411504 	                  3411957 	                        1 	                3600941 	                     66.5 	                1.85
GCA_002894765.1    	Ralstonia solanacearum                                  	GEO_6                               	                             5163400 	                    93013 	                       18 	                3450490 	                     67   	                1.78
GCA_002894775.1    	Ralstonia solanacearum                                  	GEO_304                             	                             5117074 	                   100162 	                       16 	                3419113 	                     67   	                1.78
GCA_002894785.1    	Ralstonia solanacearum                                  	GEO_81                              	                             5063526 	                    91574 	                       18 	                3380700 	                     67   	                1.93
GCA_002894795.1    	Ralstonia solanacearum                                  	GEO_230                             	                             4816124 	                    99898 	                       17 	                3215283 	                     67   	                1.76
GCA_002894845.1    	Ralstonia solanacearum                                  	GEO_55                              	                             5192144 	                    57307 	                       26 	                3466529 	                     67   	                1.93
GCA_003337165.1    	Ralstonia solanacearum                                  	P816                                	                             4487942 	                   100560 	                       12 	                3005903 	                     67   	                1.85
GCA_003515145.1    	Ralstonia solanacearum                                  	T51                                 	                             5400849 	                  3517093 	                        1 	                3587567 	                     66.5 	                3.81
GCA_003515165.1    	Ralstonia solanacearum                                  	T11                                 	                             5450627 	                  3566822 	                        1 	                3616667 	                     66.5 	                3.6
GCA_003515185.1    	Ralstonia solanacearum                                  	SL3175                              	                             5555993 	                  3569709 	                        1 	                3687113 	                     66.5 	                3.9
GCA_003515265.1    	Ralstonia solanacearum                                  	T98                                 	                             5555978 	                  3569696 	                        1 	                3687102 	                     66.5 	                3.9
GCA_003515305.1    	Ralstonia solanacearum                                  	T25                                 	                             5715510 	                  3713841 	                        1 	                3830004 	                     67   	                1.06
GCA_003515325.1    	Ralstonia solanacearum                                  	T12                                 	                             5520985 	                  3532612 	                        1 	                3667018 	                     66.5 	                3.53
GCA_003515385.1    	Ralstonia solanacearum                                  	SL3022                              	                             5605251 	                  3570269 	                        1 	                3713902 	                     66.5 	                3.12
GCA_003515425.1    	Ralstonia solanacearum                                  	SL2312                              	                             5521456 	                  3532889 	                        1 	                3667482 	                     66.5 	                4.08
GCA_003515445.1    	Ralstonia solanacearum                                  	SL2064                              	                             5473607 	                  3589215 	                        1 	                3634916 	                     66.5 	                3.59
GCA_003515465.1    	Ralstonia solanacearum                                  	T110                                	                             5642243 	                  3643902 	                        1 	                3783233 	                     67   	                0.88
GCA_003515485.1    	Ralstonia solanacearum                                  	T101                                	                             5521368 	                  3532837 	                        1 	                3667397 	                     66.5 	                3.57
GCA_003515505.1    	Ralstonia solanacearum                                  	T95                                 	                             5474514 	                  3590102 	                        1 	                3635588 	                     66.5 	                3.55
GCA_003515525.1    	Ralstonia solanacearum                                  	T82                                 	                             5521457 	                  3532888 	                        1 	                3667488 	                     66.5 	                4.06
GCA_003576005.1    	Ralstonia solanacearum                                  	P822                                	                             5374154 	                    94590 	                       17 	                3575698 	                     66.5 	                2.8
GCA_003590585.2    	Ralstonia solanacearum                                  	IBSBF 2570                          	                             5722671 	                   111312 	                       15 	                3395784 	                     67   	                3.2
GCA_003590605.1    	Ralstonia solanacearum                                  	IBSBF 2571                          	                             5429915 	                  3480799 	                        1 	                3619742 	                     66.5 	                0.87
GCA_003590625.2    	Ralstonia solanacearum                                  	SFC                                 	                             5713471 	                   104519 	                       16 	                3466405 	                     67   	                3.91
GCA_003612975.2    	Ralstonia solanacearum                                  	CRMRs218                            	                             5580300 	                    45586 	                       30 	                3413495 	                     67   	                2.66
GCA_003860665.1    	Ralstonia solanacearum                                  	UA-1612                             	                             5003359 	                  5003259 	                        1 	                3347323 	                     67   	                2.09
GCA_003860685.1    	Ralstonia solanacearum                                  	UA-1611                             	                             5195693 	                  5195593 	                        1 	                3470592 	                     67   	                2.96
GCA_003860705.1    	Ralstonia solanacearum                                  	UA-1591                             	                             5351985 	                  5351885 	                        1 	                3570851 	                     66.5 	                1.54
GCA_003860725.1    	Ralstonia solanacearum                                  	UA-1579                             	                             5081426 	                  5081326 	                        1 	                3404820 	                     67   	                0.77
GCA_003860745.1    	Ralstonia solanacearum                                  	UA-1617                             	                             5362479 	                  5362379 	                        1 	                3577058 	                     66.5 	                1.54
GCA_003860765.1    	Ralstonia solanacearum                                  	UA-1609                             	                             5068052 	                  5067952 	                        1 	                3396401 	                     67   	                0.77
GCA_008271775.1    	Ralstonia solanacearum                                  	10180                               	                             5457634 	                    13725 	                      113 	                3662146 	                     67   	                0.95
GCA_008271845.1    	Ralstonia solanacearum                                  	10154                               	                             5488177 	                    32762 	                       49 	                3685705 	                     67   	                1.06
GCA_008271855.1    	Ralstonia solanacearum                                  	10179                               	                             5468549 	                    16370 	                       88 	                3670462 	                     67   	                1.56
GCA_008271875.1    	Ralstonia solanacearum                                  	10314                               	                             5458206 	                    36872 	                       49 	                3641588 	                     66.5 	                1.3
GCA_009832785.1    	Ralstonia solanacearum                                  	CFBP 8697                           	                             4890886 	                  3142020 	                        1 	                3289131 	                     67.5 	                1.47
GCA_009832805.1    	Ralstonia solanacearum                                  	CFBP 8695                           	                             5113437 	                  3299152 	                        1 	                3416331 	                     67   	                1.76
GCA_012562465.1    	Ralstonia solanacearum                                  	CIAT_078                            	                             5389324 	                  3481951 	                        1 	                3594288 	                     66.5 	                0.57
GCA_013359535.1    	Ralstonia solanacearum                                  	UW848                               	                             5259852 	                   101099 	                       17 	                3510114 	                     66.5 	                1.78
GCA_014210335.1    	Ralstonia solanacearum                                  	CCRMRs304                           	                             5624722 	                    47845 	                       28 	                3254336 	                     67   	                3.12
GCA_014210345.1    	Ralstonia solanacearum                                  	CCRMRsB7                            	                             5849612 	                   191878 	                       10 	                3747352 	                     66.5 	                3.35
GCA_014210375.1    	Ralstonia solanacearum                                  	CCRMRs287                           	                             5423031 	                   170471 	                       10 	                3563581 	                     66.5 	                1.54
GCA_014210395.1    	Ralstonia solanacearum                                  	CCRMRs277                           	                             5630998 	                    49791 	                       28 	                3278210 	                     67   	                2.18
GCA_014884745.1    	Ralstonia solanacearum                                  	Rs5                                 	                             5430180 	                  3592797 	                        1 	                3614459 	                     66.5 	                3.73
GCA_015910635.1    	Ralstonia solanacearum                                  	NCPPB 3985                          	                             5610548 	                   908313 	                        3 	                3744813 	                     66.5 	                2.07
GCA_015910705.1    	Ralstonia solanacearum                                  	NCPPB 325                           	                             5652708 	                  1360841 	                        2 	                3755329 	                     66.5 	                3.82
GCA_015910755.1    	Ralstonia solanacearum                                  	IPO 0715                            	                             5258745 	                    83740 	                       20 	                3509071 	                     66.5 	                1.78
GCA_015910775.1    	Ralstonia solanacearum                                  	PD 445                              	                             5261782 	                   110328 	                       15 	                3510822 	                     66.5 	                1.78
GCA_015910785.1    	Ralstonia solanacearum                                  	IPO 0738                            	                             5260437 	                   110620 	                       15 	                3510168 	                     66.5 	                1.78
GCA_015910795.1    	Ralstonia solanacearum                                  	PD 141                              	                             5261242 	                    93296 	                       18 	                3510787 	                     66.5 	                1.78
GCA_015910825.1    	Ralstonia solanacearum                                  	PD 2762                             	                             5267502 	                   101484 	                       17 	                3513771 	                     66.5 	                1.94
GCA_015910855.1    	Ralstonia solanacearum                                  	PD 1447                             	                             5683519 	                    97464 	                       21 	                3784714 	                     66.5 	                2.7
GCA_015910875.1    	Ralstonia solanacearum                                  	PD 1414                             	                             5781508 	                   185874 	                       12 	                3835068 	                     66.5 	                3.53
GCA_015910885.1    	Ralstonia solanacearum                                  	PD 1446                             	                             5481350 	                   152655 	                       13 	                3660711 	                     67   	                1.81
GCA_015910925.1    	Ralstonia solanacearum                                  	PD 134                              	                             5269456 	                   101485 	                       16 	                3515715 	                     66.5 	                1.78
GCA_015910965.1    	Ralstonia solanacearum                                  	NAK 7                               	                             5295523 	                   101484 	                       16 	                3532461 	                     66.5 	                2.16
GCA_015911015.1    	Ralstonia solanacearum                                  	NAK 216                             	                             5261330 	                   110327 	                       15 	                3510603 	                     66.5 	                1.78
GCA_015911025.1    	Ralstonia solanacearum                                  	NAK 214                             	                             5261352 	                   110328 	                       15 	                3510641 	                     66.5 	                1.78
GCA_015911055.1    	Ralstonia solanacearum                                  	NAK 204                             	                             5260361 	                   110327 	                       15 	                3509975 	                     66.5 	                1.78
GCA_015911065.1    	Ralstonia solanacearum                                  	NAK 215                             	                             5260072 	                   110327 	                       15 	                3509945 	                     66.5 	                2.09
