Assembly Accession 	Assembly Name                           	Organism Name                   	Organism Taxonomic ID 	Organism Infraspecific Names Breed 	Organism Infraspecific Names Strain 	Organism Infraspecific Names Cultivar 	Organism Infraspecific Names Ecotype 	Organism Infraspecific Names Isolate 	Organism Infraspecific Names Sex 	Annotation Name                                        	Assembly Stats Total Sequence Length 	Assembly Stats Total Number of Chromosomes 	Assembly Level  	Assembly Release Date 	WGS project accession 	Assembly Stats Contig N50 	Assembly Stats Scaffold N50 	Assembly Stats Number of Scaffolds 	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech                 	Assembly Submitter                                                     	Assembly BioProject Accession 	Assembly BioSample Accession 	Annotation Count Gene Total            	Annotation Count Gene Protein-coding 	Annotation Count Gene Pseudogene 	Type Material Display Text  	CheckM marker set   	CheckM completeness 	CheckM contamination
GCF_014142545.1    	ASM1414254v1                            	Ralstonia pickettii             	                  329 	                                   	s11                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5535820 	                                           	Contig          	2020-08-10            	RASN01                	                   269063 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135491                 	5332                                   	                                5177 	                             102 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCA_014142575.1    	ASM1414257v1                            	Ralstonia pickettii             	                  329 	                                   	s10                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5348194 	                                           	Scaffold        	2020-08-10            	RASO01                	                   269063 	                     269697 	                                35 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135490                 	5146                                   	                                4922 	                             171 	                            	Ralstonia pickettii 	              92.94 	                5.95
GCF_014142575.1    	ASM1414257v1                            	Ralstonia pickettii             	                  329 	                                   	s10                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5348194 	                                           	Scaffold        	2020-08-10            	RASO01                	                   269063 	                     269697 	                                35 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135490                 	5112                                   	                                4968 	                              91 	                            	Ralstonia pickettii 	              92.94 	                5.95
GCA_019643135.1    	ASM1964313v1                            	Ralstonia pickettii             	                  329 	                                   	101480038-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5534649 	                                           	Contig          	2021-08-16            	QGCN01                	                   269063 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001562                 	5294                                   	                                5116 	                             125 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCF_019643135.1    	ASM1964313v1                            	Ralstonia pickettii             	                  329 	                                   	101480038-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5534649 	                                           	Contig          	2021-08-16            	QGCN01                	                   269063 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001562                 	5331                                   	                                5177 	                             101 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCA_019643195.1    	ASM1964319v1                            	Ralstonia pickettii             	                  329 	                                   	101120021-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5536409 	                                           	Contig          	2021-08-16            	QGCQ01                	                   269063 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001559                 	5296                                   	                                5118 	                             125 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCF_019643195.1    	ASM1964319v1                            	Ralstonia pickettii             	                  329 	                                   	101120021-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5536409 	                                           	Contig          	2021-08-16            	QGCQ01                	                   269063 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001559                 	5334                                   	                                5179 	                             102 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCA_019643215.1    	ASM1964321v1                            	Ralstonia pickettii             	                  329 	                                   	101480035-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5539325 	                                           	Contig          	2021-08-16            	QGCO01                	                   269063 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001561                 	5300                                   	                                5120 	                             126 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCF_019643215.1    	ASM1964321v1                            	Ralstonia pickettii             	                  329 	                                   	101480035-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5539325 	                                           	Contig          	2021-08-16            	QGCO01                	                   269063 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001561                 	5337                                   	                                5179 	                             104 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCA_019643235.1    	ASM1964323v1                            	Ralstonia pickettii             	                  329 	                                   	100540015-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5348773 	                                           	Contig          	2021-08-16            	QGCR01                	                   269063 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001558                 	5081                                   	                                4908 	                             120 	                            	Ralstonia pickettii 	              92.94 	                5.95
GCF_019643235.1    	ASM1964323v1                            	Ralstonia pickettii             	                  329 	                                   	100540015-2                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5348773 	                                           	Contig          	2021-08-16            	QGCR01                	                   269063 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001558                 	5112                                   	                                4968 	                              91 	                            	Ralstonia pickettii 	              92.94 	                5.95
GCA_014142725.1    	ASM1414272v1                            	Ralstonia pickettii             	                  329 	                                   	s1                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5614868 	                                           	Scaffold        	2020-08-10            	RASW01                	                   264047 	                     264047 	                                91 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135481                 	5486                                   	                                5208 	                             224 	                            	Ralstonia pickettii 	              93.48 	                7.82
GCF_014142725.1    	ASM1414272v1                            	Ralstonia pickettii             	                  329 	                                   	s1                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5614868 	                                           	Scaffold        	2020-08-10            	RASW01                	                   264047 	                     264047 	                                91 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135481                 	5458                                   	                                5261 	                             143 	                            	Ralstonia pickettii 	              93.48 	                7.82
GCA_014142755.1    	ASM1414275v1                            	Ralstonia pickettii             	                  329 	                                   	s2                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5538224 	                                           	Contig          	2020-08-10            	RASV01                	                   264047 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135482                 	5368                                   	                                5130 	                             185 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCF_014142755.1    	ASM1414275v1                            	Ralstonia pickettii             	                  329 	                                   	s2                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5538224 	                                           	Contig          	2020-08-10            	RASV01                	                   264047 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135482                 	5332                                   	                                5176 	                             103 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCA_019642995.1    	ASM1964299v1                            	Ralstonia pickettii             	                  329 	                                   	092160072-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5538813 	                                           	Contig          	2021-08-16            	QGCI01                	                   264047 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001568                 	5296                                   	                                5116 	                             127 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCF_019642995.1    	ASM1964299v1                            	Ralstonia pickettii             	                  329 	                                   	092160072-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5538813 	                                           	Contig          	2021-08-16            	QGCI01                	                   264047 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001568                 	5336                                   	                                5180 	                             103 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCA_014142205.1    	ASM1414220v1                            	Ralstonia pickettii             	                  329 	                                   	s27                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5534019 	                                           	Scaffold        	2020-08-10            	RASE01                	                   247735 	                     269063 	                                40 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135507                 	5364                                   	                                5129 	                             182 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCF_014142205.1    	ASM1414220v1                            	Ralstonia pickettii             	                  329 	                                   	s27                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5534019 	                                           	Scaffold        	2020-08-10            	RASE01                	                   247735 	                     269063 	                                40 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135507                 	5331                                   	                                5177 	                             101 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCA_019642915.1    	ASM1964291v1                            	Ralstonia pickettii             	                  329 	                                   	110760020-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5535017 	                                           	Contig          	2021-08-16            	QGCB01                	                   247735 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001576                 	5295                                   	                                5117 	                             125 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCF_019642915.1    	ASM1964291v1                            	Ralstonia pickettii             	                  329 	                                   	110760020-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5535017 	                                           	Contig          	2021-08-16            	QGCB01                	                   247735 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001576                 	5334                                   	                                5179 	                             102 	                            	Ralstonia pickettii 	              93.48 	                7.28
GCA_958349765.1    	R-38712                                 	Ralstonia pickettii             	                  329 	                                   	R-38712                             	                                      	                                     	R-38712                              	                                 	Annotation submitted by LM-UGent                       	                             5620686 	                                           	Contig          	2023-10-08            	CATWFT01              	                   222243 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina                                 	LM-UGent                                                               	PRJEB63170                    	SAMEA114056376               	5351                                   	                                5294 	                                 	                            	Ralstonia pickettii 	              92.34 	                5.58
GCF_958349765.1    	R-38712                                 	Ralstonia pickettii             	                  329 	                                   	R-38712                             	                                      	                                     	R-38712                              	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5620686 	                                           	Contig          	2023-10-08            	CATWFT01              	                   222243 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina                                 	LM-UGent                                                               	PRJEB63170                    	SAMEA114056376               	5347                                   	                                5195 	                              93 	                            	Ralstonia pickettii 	              92.34 	                5.58
GCA_018603815.1    	ASM1860381v1                            	Ralstonia pickettii             	                  329 	                                   	NCTR106                             	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5271161 	                                           	Contig          	2021-05-31            	JAHFZH01              	                   205936 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina MiSeq                           	NCTR/FDA                                                               	PRJNA732357                   	SAMN19316816                 	5037                                   	                                4879 	                             101 	                            	Ralstonia pickettii 	              91.85 	                5.09
GCF_018603815.1    	ASM1860381v1                            	Ralstonia pickettii             	                  329 	                                   	NCTR106                             	                                      	                                     	                                     	                                 	GCF_018603815.1-RS_2024_06_26                          	                             5271161 	                                           	Contig          	2021-05-31            	JAHFZH01              	                   205936 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina MiSeq                           	NCTR/FDA                                                               	PRJNA732357                   	SAMN19316816                 	5079                                   	                                4941 	                              81 	                            	Ralstonia pickettii 	              91.85 	                5.09
GCA_014141845.1    	ASM1414184v1                            	Ralstonia pickettii             	                  329 	                                   	s46                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5698483 	                                           	Scaffold        	2020-08-10            	RARQ01                	                   205437 	                     205437 	                                54 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135526                 	5510                                   	                                5299 	                             155 	                            	Ralstonia pickettii 	              91.45 	                5.98
GCF_014141845.1    	ASM1414184v1                            	Ralstonia pickettii             	                  329 	                                   	s46                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5698483 	                                           	Scaffold        	2020-08-10            	RARQ01                	                   205437 	                     205437 	                                54 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135526                 	5430                                   	                                5302 	                              73 	                            	Ralstonia pickettii 	              91.45 	                5.98
GCA_019642395.1    	ASM1964239v1                            	Ralstonia pickettii             	                  329 	                                   	132550028-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5700791 	                                           	Contig          	2021-08-16            	QGBK01                	                   205437 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001595                 	5403                                   	                                5262 	                              86 	                            	Ralstonia pickettii 	              91.45 	                5.98
GCF_019642395.1    	ASM1964239v1                            	Ralstonia pickettii             	                  329 	                                   	132550028-1                         	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5700791 	                                           	Contig          	2021-08-16            	QGBK01                	                   205437 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq 500                     	J.Craig Venter Institute                                               	PRJNA454304                   	SAMN09001595                 	5433                                   	                                5304 	                              74 	                            	Ralstonia pickettii 	              91.45 	                5.98
GCA_014141915.1    	ASM1414191v1                            	Ralstonia pickettii             	                  329 	                                   	s43                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5013749 	                                           	Contig          	2020-08-10            	RART01                	                   195611 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135523                 	4753                                   	                                4564 	                             132 	                            	Ralstonia pickettii 	              88.84 	                3.23
GCF_014141915.1    	ASM1414191v1                            	Ralstonia pickettii             	                  329 	                                   	s43                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5013749 	                                           	Contig          	2020-08-10            	RART01                	                   195611 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135523                 	4699                                   	                                4583 	                              60 	                            	Ralstonia pickettii 	              88.84 	                3.23
GCA_014142025.1    	ASM1414202v1                            	Ralstonia pickettii             	                  329 	                                   	s38                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5256159 	                                           	Scaffold        	2020-08-10            	RARX01                	                   195611 	                     195611 	                                47 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135518                 	5004                                   	                                4799 	                             149 	                            	Ralstonia pickettii 	              90.93 	                4.15
GCF_014142025.1    	ASM1414202v1                            	Ralstonia pickettii             	                  329 	                                   	s38                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5256159 	                                           	Scaffold        	2020-08-10            	RARX01                	                   195611 	                     195611 	                                47 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135518                 	4948                                   	                                4822 	                              71 	                            	Ralstonia pickettii 	              90.93 	                4.15
GCA_014142365.1    	ASM1414236v1                            	Ralstonia pickettii             	                  329 	                                   	s21                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5429456 	                                           	Scaffold        	2020-08-10            	RASH01                	                   195611 	                     195611 	                                51 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135501                 	5181                                   	                                4965 	                             160 	                            	Ralstonia pickettii 	              91.05 	                6.28
GCF_014142365.1    	ASM1414236v1                            	Ralstonia pickettii             	                  329 	                                   	s21                                 	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5429456 	                                           	Scaffold        	2020-08-10            	RASH01                	                   195611 	                     195611 	                                51 	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135501                 	5114                                   	                                4998 	                              61 	                            	Ralstonia pickettii 	              91.05 	                6.28
GCA_014142625.1    	ASM1414262v1                            	Ralstonia pickettii             	                  329 	                                   	s8                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5430218 	                                           	Contig          	2020-08-10            	RASP01                	                   195611 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135488                 	5184                                   	                                4971 	                             157 	                            	Ralstonia pickettii 	              91.28 	                6.28
GCF_014142625.1    	ASM1414262v1                            	Ralstonia pickettii             	                  329 	                                   	s8                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5430218 	                                           	Contig          	2020-08-10            	RASP01                	                   195611 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135488                 	5116                                   	                                5001 	                              60 	                            	Ralstonia pickettii 	              91.28 	                6.28
GCA_014142735.1    	ASM1414273v1                            	Ralstonia pickettii             	                  329 	                                   	s3                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5428919 	                                           	Contig          	2020-08-10            	RASU01                	                   195611 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135483                 	5173                                   	                                4962 	                             154 	                            	Ralstonia pickettii 	              91.28 	                6.28
GCF_014142735.1    	ASM1414273v1                            	Ralstonia pickettii             	                  329 	                                   	s3                                  	                                      	                                     	                                     	                                 	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)     	                             5428919 	                                           	Contig          	2020-08-10            	RASU01                	                   195611 	                            	                                   	                          	                             	                            	                            	                         	                         	Illumina NextSeq                         	NASA Ames Research Center                                              	PRJNA493516                   	SAMN10135483                 	5117                                   	                                5001 	                              60 	                            	Ralstonia pickettii 	              91.28 	                6.28
